state,district,demo_age_5_17,demo_age_17_,total_demo,demo_minor_share,cv_volume,cluster
Arunachal Pradesh,Lower Subansiri,198,1323,1521,0.13017751479289086,1.853208264855782,3
Arunachal Pradesh,Namsai,221,1914,2135,0.10351288056205604,2.5782924481059384,2
Arunachal Pradesh,Papum Pare,770,4152,4922,0.15644047135310532,2.8018728160299604,3
Arunachal Pradesh,Shi-Yomi,43,195,238,0.1806722689074871,0.8482323786111372,3
Arunachal Pradesh,Siang,175,602,777,0.22522522522519622,2.0889012903857993,3
Arunachal Pradesh,Tawang,209,742,951,0.21976866456359412,1.4300300106001338,3
Arunachal Pradesh,Tirap,96,894,990,0.09696969696968717,2.3167955871037322,4
Arunachal Pradesh,Upper Siang,199,1122,1321,0.15064345193034437,1.3016338279916477,3
Arunachal Pradesh,Upper Subansiri,347,1202,1549,0.2240154938669965,3.553029171174772,3
Arunachal Pradesh,West Kameng,375,1484,1859,0.20172135556749857,0.8833779147737731,3
Arunachal Pradesh,West Siang,521,3031,3552,0.1466779279279238,3.2253017395617767,3
Assam,Bajali,57,787,844,0.06753554502368868,0.6768291750529959,4
Assam,Baksa,1346,15666,17012,0.07912062073830192,2.6646456899486717,2
Assam,Barpeta,4906,54164,59070,0.08305400372439464,1.8182461932539555,0
Assam,Biswanath,844,10181,11025,0.07655328798185872,2.5182155168738674,2
Assam,Bongaigaon,3318,35806,39124,0.08480727941928207,2.8962070212639364,2
Assam,Cachar,5078,52941,58019,0.0875230527930504,1.8407623057455065,0
Assam,Charaideo,763,9150,9913,0.07696963583173533,2.0028496977449586,0
Assam,Chirang,1175,12222,13397,0.08770620288124141,1.3428671992048602,0
Assam,Darrang,3187,25132,28319,0.11253928457925735,2.1475783612295882,1
Assam,Dhemaji,1927,20422,22349,0.08622309723030075,2.7460080809780356,2
Assam,Dhubri,7163,73614,80777,0.08867623209576972,1.558771318365723,0
Assam,Dibrugarh,1874,24645,26519,0.07066631471774927,2.0983906110340578,0
Assam,Dima Hasao,16,264,280,0.057142857142836734,0.8537189800518505,4
Assam,Goalpara,4191,36242,40433,0.103652956743254,2.232857783863429,1
Assam,Golaghat,1998,25926,27924,0.07155135367425845,3.0354864901204985,2
Assam,Hailakandi,2253,19049,21302,0.1057647169279875,0.9971832123497127,0
Assam,Hojai,2371,22937,25308,0.09368579105421174,1.8446503237936156,0
Assam,Jorhat,1266,18522,19788,0.06397816858702211,2.635831388459863,0
Assam,Kamrup,3266,41318,44584,0.07325497936479437,1.3136024122916883,0
Assam,Kamrup Metro,2308,23883,26191,0.08812187392615752,2.104813203233357,0
Assam,Karbi Anglong,2438,28683,31121,0.07833938498120216,2.168883509660876,0
Assam,Karimganj,4135,37279,41414,0.09984546288694619,1.37880661235742,0
Assam,Kokrajhar,1928,20741,22669,0.08505006837531394,1.6851175224245276,0
Assam,Lakhimpur,2993,32419,35412,0.08451937196430565,2.7539980987189483,2
Assam,Majuli,290,2991,3281,0.08838768668088728,1.858699986559005,4
Assam,Marigaon,4499,39311,43810,0.10269344898424994,1.9537047144953432,0
Assam,Nagaon,7028,90077,97105,0.07237526388960396,1.7751293177248226,0
Assam,Nalbari,2083,18878,20961,0.09937502981727925,2.3133510854829744,1
Assam,North Cachar Hills,300,3299,3599,0.08335648791330694,1.976967734990217,4
Assam,Sibsagar,1031,12039,13070,0.07888293802601316,1.1949904305113415,0
Assam,Sonitpur,3162,40414,43576,0.07256287864879733,2.2759100490014834,0
Assam,South Salmara Mankachar,1188,19449,20637,0.05756650675970317,2.647229751344994,0
Assam,Sribhumi,192,4895,5087,0.037743267151562065,0.6572784700598099,4
Assam,Tamulpur District,54,1214,1268,0.042586750788640174,0.5805570476174753,4
Assam,Tinsukia,2000,33249,35249,0.05673919827512821,2.216268997524626,0
Assam,Udalguri,1380,18400,19780,0.06976744186046477,2.483767375571485,0
Assam,West Karbi Anglong,152,1299,1451,0.10475534114403137,2.6768723307719773,2
Bihar,Araria,8484,139325,147809,0.05739839928556444,1.8017212539983471,0
Bihar,Arwal,2232,25538,27770,0.0803745048613609,2.21330881372651,0
Bihar,Aurangabad,10545,95295,105840,0.09963151927437632,2.3491431916778334,0
Bihar,Aurangabad(Bh),26,668,694,0.037463976945239556,0.7283348478378427,4
Bihar,Banka,7376,90422,97798,0.07542076525082304,2.417129464000863,0
Bihar,Begusarai,12837,118587,131424,0.09767622352081805,2.179127419039637,0
Bihar,Bhabua,5,127,132,0.03787878787875919,0.6870102535081409,4
Bihar,Bhagalpur,14490,138835,153325,0.09450513614870368,2.535993565923431,0
Bihar,Bhojpur,10707,131634,142341,0.07522077265159015,2.1448826740662392,0
Bihar,Buxar,7052,66850,73902,0.09542366918351317,2.5376903710615313,1
Bihar,Darbhanga,12298,141391,153689,0.08001873914203354,1.8957808253306174,0
Bihar,East Champaran,18115,227827,245942,0.07365557733124067,1.873716919532369,0
Bihar,Gaya,19582,173087,192669,0.10163544732157219,2.6033141445187575,1
Bihar,Gopalganj,8000,97842,105842,0.0755843615955858,2.1937089428437817,0
Bihar,Jamui,5423,61497,66920,0.08103705917513436,2.3387173813155817,0
Bihar,Jehanabad,4393,41968,46361,0.09475636849938505,2.0175811578417235,0
Bihar,Kaimur (Bhabua),5441,61555,66996,0.08121380380918251,1.4049719875323716,0
Bihar,Katihar,10834,161352,172186,0.06292033034044577,1.8154803726021416,0
Bihar,Khagaria,7283,68254,75537,0.0964163257741238,1.7768961342974674,0
Bihar,Kishanganj,5933,127454,133387,0.04447959696222267,1.5224624996451734,0
Bihar,Lakhisarai,4068,44635,48703,0.0835266821345706,1.6694348064124398,0
Bihar,Madhepura,6595,84606,91201,0.07231280358767989,1.9013332985609455,0
Bihar,Madhubani,13587,168104,181691,0.07478080917601859,2.3168316243482163,0
Bihar,Monghyr,2,280,282,0.007092198581557769,0.7155043319181703,4
Bihar,Munger,4129,51818,55947,0.07380199117021453,2.4202338413598232,0
Bihar,Muzaffarpur,15791,190733,206524,0.07646084716546257,2.121234684427496,0
Bihar,Nalanda,11763,140932,152695,0.07703592128098492,1.589809063107937,0
Bihar,Nawada,6895,79623,86518,0.0796943988534177,1.9530553516359757,0
Bihar,Pashchim Champaran,23,1097,1120,0.02053571428571245,0.788245001800148,4
Bihar,Patna,20821,222733,243554,0.08548822848321108,1.8010490377135273,0
Bihar,Purba Champaran,19,915,934,0.020342612419698036,0.6442248483323972,4
Bihar,Purnea,102,2704,2806,0.036350677120454866,0.8743436456565994,4
Bihar,Purnia,9278,129795,139073,0.06671316502843826,1.6311437731617877,0
Bihar,Rohtas,10462,107283,117745,0.08885302985264759,1.7344522104564448,0
Bihar,Saharsa,6443,74734,81177,0.07936977222612307,2.3587820093049627,0
Bihar,Samastipur,15236,185111,200347,0.07604805662176121,2.1913516314322745,0
Bihar,Samstipur,10,438,448,0.02232142857142359,0.687123390810677,4
Bihar,Saran,14773,154689,169462,0.087175886039348,2.450437688782991,0
Bihar,Sheikhpura,2326,25762,28088,0.08281116491028168,1.8963387531781244,0
Bihar,Sheikpura,1,177,178,0.005617977528086732,0.7288948904002043,4
Bihar,Sheohar,2411,27836,30247,0.07971038450094198,2.273974875398052,0
Bihar,Sitamarhi,12250,149409,161659,0.07577678941475571,2.154509160445528,0
Bihar,Siwan,10566,113122,123688,0.08542461677769865,2.2113785166786846,0
Bihar,Supaul,6449,100144,106593,0.06050115861266681,2.7049157982286647,0
Bihar,Vaishali,12427,142674,155101,0.08012198502911001,2.5476713974224143,0
Bihar,West Champaran,16694,212047,228741,0.0729821063998146,1.7572626096257358,0
Chandigarh,Chandigarh,11223,70204,81427,0.13782897564689828,2.8353117793524776,1
Chhattisgarh,Balod,5704,54030,59734,0.0954900056919006,2.641529588518595,1
Chhattisgarh,Baloda Bazar,7933,101218,109151,0.07267913257780499,1.8583385881598118,0
Chhattisgarh,Balrampur,3280,43779,47059,0.06969973862598,2.2595781513400888,0
Chhattisgarh,Bastar,9024,69409,78433,0.11505361263753762,1.7266913250215497,0
Chhattisgarh,Bemetara,4165,52977,57142,0.0728885933288998,2.5116288334402057,0
Chhattisgarh,Bijapur,1137,11910,13047,0.08714647045297703,2.6825131974487286,2
Chhattisgarh,Bilaspur,11322,124031,135353,0.08364794278663933,2.0786941256309173,0
Chhattisgarh,Dakshin Bastar Dantewada,1408,4488,5896,0.23880597014924967,1.8329408822409814,3
Chhattisgarh,Dantewada,699,1699,2398,0.2914929107589536,1.6338744727466081,3
Chhattisgarh,Dhamtari,3068,41364,44432,0.06904933381346762,2.6787606732280156,0
Chhattisgarh,Durg,8674,62390,71064,0.1220589890802655,2.1970360381015728,1
Chhattisgarh,Gariyaband,1307,26292,27599,0.04735678828943061,1.8270080813859173,0
Chhattisgarh,Gaurela-Pendra-Marwahi,439,2986,3425,0.12817518248174808,2.2767921798883695,1
Chhattisgarh,Janjgir - Champa,11,204,215,0.051162790697650624,0.6329331221442887,4
Chhattisgarh,Janjgir Champa,5,231,236,0.021186440677957125,1.0440300612374975,4
Chhattisgarh,Janjgir-Champa,7061,101966,109027,0.06476377411099997,2.8356869093381727,0
Chhattisgarh,Jashpur,8466,57509,65975,0.12832133383857502,2.050239611729667,1
Chhattisgarh,Kabeerdham,2690,23437,26127,0.10295862517701955,2.7766297023758932,1
Chhattisgarh,Kanker,2867,25973,28840,0.09941054091539495,1.7705877427459067,0
Chhattisgarh,Kawardha,4023,45741,49764,0.0808415722208824,2.259112295671818,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,641,5462,6103,0.10503031296083722,2.432176233996883,1
Chhattisgarh,Kondagaon,3081,29959,33040,0.09325060532687622,1.5857391868852069,0
Chhattisgarh,Korba,5580,71636,77216,0.07226481558226265,2.6413794294279342,0
Chhattisgarh,Koriya,2301,26754,29055,0.07919463087248295,1.5883388515071497,0
Chhattisgarh,Mahasamund,5791,68304,74095,0.07815642081112074,2.0864882441889563,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,395,4718,5113,0.07725405828280701,0.6817293674015031,4
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,32,149,181,0.17679558011039959,2.5461382136310093,3
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2751,15902,18653,0.1474829786093382,1.7141086006368111,1
Chhattisgarh,Mungeli,3719,58822,62541,0.05946499096592626,2.5441769411015533,0
Chhattisgarh,Narayanpur,1515,10384,11899,0.1273216236658532,3.7640138845658475,2
Chhattisgarh,Raigarh,5194,78242,83436,0.0622513063905268,2.497330783764788,0
Chhattisgarh,Raipur,11953,118804,130757,0.09141384400070353,2.764720439722844,1
Chhattisgarh,Rajnandgaon,8836,105159,113995,0.07751217158647303,2.9817963480171654,2
Chhattisgarh,Sakti,967,8718,9685,0.09984512132163036,0.9453759662740737,4
Chhattisgarh,Sarangarh-Bilaigarh,622,7433,8055,0.07721911855989973,0.7495824246844939,4
Chhattisgarh,Sukma,1509,11237,12746,0.11839008316334443,1.3250924901142036,0
Chhattisgarh,Surajpur,3394,38673,42067,0.08068081869398797,1.8987153047596135,0
Chhattisgarh,Surguja,8603,99640,108243,0.07947858060105496,1.928698910022225,0
Chhattisgarh,Uttar Bastar Kanker,1113,12455,13568,0.08203124999999939,1.1632305165142134,0
Dadra And Nagar Haveli,Dadra & Nagar Haveli,32,203,235,0.1361702127658995,0.7032996654287312,4
Dadra And Nagar Haveli,Dadra And Nagar Haveli,1310,4723,6033,0.2171390684568172,1.986319625311157,3
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,145,1544,1689,0.08584961515689249,0.7281952123359052,4
Dadra And Nagar Haveli And Daman And Diu,Daman,107,1580,1687,0.06342620035565717,3.194460043681319,2
Dadra And Nagar Haveli And Daman And Diu,Diu,54,310,364,0.1483516483516076,3.947605629894917,3
Daman And Diu,Daman,187,1294,1481,0.12626603646184156,1.3073411983648444,4
Daman And Diu,Diu,88,627,715,0.12307692307690586,0.823141236018616,4
Delhi,Central Delhi,4056,40973,45029,0.09007528481645141,3.5866658089571852,2
Delhi,East Delhi,12349,118527,130876,0.09435649011277844,2.8380342492214425,1
Delhi,Najafgarh,9,186,195,0.04615384615382249,0.7022508032473395,4
Delhi,New Delhi,547,3514,4061,0.1346958877123828,3.869762961008584,2
Delhi,North Delhi,6032,60337,66369,0.09088580511986004,2.86928718921419,1
Delhi,North East,360,10819,11179,0.03220323821450906,1.9010654602651993,0
Delhi,North East Delhi,8748,69402,78150,0.11193857965451041,2.2533189740718838,1
Delhi,North West Delhi,23852,209616,233468,0.10216389398118796,2.8352327986310195,1
Delhi,Shahdara,3496,23863,27359,0.12778244818889534,3.3221375458345883,2
Delhi,South Delhi,14136,146980,161116,0.0877380272598624,2.634478359783448,0
Delhi,South East Delhi,124,1045,1169,0.10607356715140238,0.7291204863897766,4
Delhi,South West Delhi,15014,128894,143908,0.1043305445145509,2.8990274065657653,1
Delhi,West Delhi,12936,122758,135694,0.09533214438368676,2.3216508653029773,0
Goa,North Goa,1713,17130,18843,0.09090909090909044,2.0973518415789942,0
Goa,South Goa,1560,14678,16238,0.09607094469762227,1.930241735238309,0
Gujarat,Ahmadabad,320,7440,7760,0.04123711340206132,0.5753347776530462,4
Gujarat,Ahmedabad,30037,233786,263823,0.11385284831117828,2.5068556993371933,1
Gujarat,Amreli,2578,25310,27888,0.09244119334480748,2.816896933600271,2
Gujarat,Anand,3523,35626,39149,0.08998952719098804,2.9805514038982603,2
Gujarat,Arvalli,1810,6286,8096,0.22356719367588657,2.4189755413916822,3
Gujarat,Banas Kantha,33,440,473,0.06976744186045036,0.6681927692361828,4
