state,district,intensity_std,intensity_mean,observation_count,cv,trend_score
100000,100000,0.0,0.0,23,0.0,0.0
Andaman And Nicobar Islands,Andamans,0.3555972408863622,0.05026455026455026,189,7.07451352921289,-0.0007518796992481205
Andaman And Nicobar Islands,Nicobar,0.6257265280801689,0.1347517730496454,141,4.643549497858095,-6.100432381523205e-05
Andaman And Nicobar Islands,Nicobars,0.0,0.0,6,0.0,0.0
Andaman And Nicobar Islands,North And Middle Andaman,1.2265899170303467,0.16792294807370184,199,7.304480603163261,0.001034845946906248
Andaman And Nicobar Islands,South Andaman,0.175139107893865,0.011728182131769576,223,14.933184523068077,0.00029150645742574
Andhra Pradesh,Adilabad,0.04250511420422255,0.0027100271002710027,246,15.684387141358123,-4.164794188634281e-05
Andhra Pradesh,Alluri Sitharama Raju,0.1763830694822499,0.014637002341920375,244,12.050491307027313,-9.564759202319142e-05
Andhra Pradesh,Anakapalli,0.10508599037477855,0.009411050394656952,244,11.166233944984533,-8.196491846418123e-05
Andhra Pradesh,Anantapur,0.0,0.0,255,0.0,0.0
Andhra Pradesh,Ananthapur,0.0,0.0,251,0.0,0.0
Andhra Pradesh,Ananthapuramu,0.10033712012826786,0.006308140695492475,253,15.905973720586866,0.0001466459404276466
Andhra Pradesh,Annamayya,0.13939610813930145,0.012071330589849109,243,11.547700321994403,-0.0001319147204227515
Andhra Pradesh,Bapatla,0.10551723358617358,0.011784232365145227,241,8.95410327262952,-0.0001130962587016905
Andhra Pradesh,Chittoor,0.0,0.0,258,0.0,0.0
Andhra Pradesh,Cuddapah,0.11472989810552552,0.007184664910740415,255,15.968719422671313,0.00016573876362743948
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.0,0.0,248,0.0,0.0
Andhra Pradesh,East Godavari,0.0,0.0,259,0.0,0.0
Andhra Pradesh,Eluru,0.04276668660663895,0.0027434842249657062,243,15.5884572681199,-2.8434703049705505e-05
Andhra Pradesh,Guntur,0.0,0.0,260,0.0,0.0
Andhra Pradesh,Hyderabad,0.06765803365941649,0.00427906976744186,250,15.811388300841898,8.421344043830286e-05
Andhra Pradesh,K.V. Rangareddy,0.18646192333169764,0.02097902097902098,143,8.888018345477587,-0.0006032699694671531
Andhra Pradesh,K.V.Rangareddy,0.11226854975420823,0.013888888888888888,192,8.083335582302993,0.00011529175596126198
Andhra Pradesh,Kakinada,0.10541608302657433,0.009370816599732261,249,11.24940200297872,-0.0001254048451872005
Andhra Pradesh,Karim Nagar,0.09101337924443725,0.009137055837563452,197,9.960908728418966,-0.00014220732132262225
Andhra Pradesh,Karimnagar,0.03181423814878888,0.0020242914979757085,247,15.716233645501706,-3.941873688032948e-05
Andhra Pradesh,Khammam,0.0,0.0,247,0.0,0.0
Andhra Pradesh,Krishna,0.0,0.0,261,0.0,0.0
Andhra Pradesh,Kurnool,0.26767241379310336,0.016729525862068967,256,15.999999999999993,-0.00021596366642725803
Andhra Pradesh,Mahabub Nagar,0.06401843996644797,0.004098360655737705,244,15.620499351813304,-8.054223510897987e-05
Andhra Pradesh,Mahabubnagar,0.17490598978639324,0.03125,96,5.596991673164584,-0.0014446554530656549
Andhra Pradesh,Mahbubnagar,0.0,0.0,244,0.0,0.0
Andhra Pradesh,Medak,0.1301327335664821,0.008365248941745616,242,15.556349186104041,8.484807594209476e-05
Andhra Pradesh,N. T. R,0.25109244511756046,0.024611857391250828,249,10.202092476239535,-0.00010342296140438656
Andhra Pradesh,Nalgonda,0.0,0.0,246,0.0,0.0
Andhra Pradesh,Nandyal,0.12580217852583722,0.010944700460829494,248,11.494346416887021,-8.95201920014242e-05
Andhra Pradesh,Nellore,0.0,0.0,252,0.0,0.0
Andhra Pradesh,Nizamabad,0.0,0.0,234,0.0,0.0
Andhra Pradesh,Palnadu,0.0,0.0,247,0.0,0.0
Andhra Pradesh,Parvathipuram Manyam,0.3903099775238914,0.030918367346938775,245,12.623887061828832,-0.0002981868477098955
Andhra Pradesh,Prakasam,0.0,0.0,256,0.0,0.0
Andhra Pradesh,Rangareddi,0.0,0.0,247,0.0,0.0
Andhra Pradesh,Spsr Nellore,0.0,0.0,3,0.0,0.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.06324555320336758,0.004,250,15.811388300841895,-2.6496423942783102e-05
Andhra Pradesh,Sri Sathya Sai,0.07131137927182486,0.006122448979591836,245,11.647525281064729,-4.080000652800106e-06
Andhra Pradesh,Srikakulam,0.0,0.0,256,0.0,0.0
Andhra Pradesh,Tirupati,0.09497874850779014,0.00844412504491556,253,11.247908812645955,-0.00011778755826560131
Andhra Pradesh,Visakhapatanam,,0.0,1,0.0,0.0
Andhra Pradesh,Visakhapatnam,0.3135775862068965,0.019598599137931036,256,15.999999999999996,-0.00042525685472095715
Andhra Pradesh,Vizianagaram,0.0,0.0,258,0.0,0.0
Andhra Pradesh,Warangal,0.0,0.0,251,0.0,0.0
Andhra Pradesh,West Godavari,0.0793972478779311,0.004933504933504933,259,16.093476939431078,-2.7359329684911075e-05
Andhra Pradesh,Y. S. R,0.1399212524540718,0.014897987674757184,247,9.39195651847338,-0.00016166840665891822
Arunachal Pradesh,Anjaw,4.2638651833265415,1.268608414239482,103,3.3610569939997488,-0.025239240580474148
Arunachal Pradesh,Changlang,0.8380078976231002,0.13935060001726668,225,6.013665513598537,-0.0005799679262068642
Arunachal Pradesh,Dibang Valley,0.7086399524629994,0.1853932584269663,89,3.8223609557095117,-0.004605039155600955
Arunachal Pradesh,East Kameng,9.404817681879551,3.0033035714285714,160,3.1314908593825543,-0.05185266723588532
