state,district,avg_enrol,std_enrol,obs_count,avg_share_0_5,std_share_0_5,avg_share_5_17,std_share_5_17,cv_enrol
100000,100000,3.4761904761904763,4.178744400164332,21,0.0,0.0,0.04761904761428572,0.21821789021417057,1.20210455343735
Andaman And Nicobar Islands,Andamans,1.5675675675675675,0.7652356405615107,37,0.9324324323596848,0.1982152599602625,0.06756756756328829,0.19821525996506012,0.48816756377533926
Andaman And Nicobar Islands,Nicobar,2.3870967741935485,2.1706745396280045,31,0.8510752687630636,0.3161380231579896,0.14892473117328045,0.31613802315787426,0.9093366314276918
Andaman And Nicobar Islands,North And Middle Andaman,2.6875,1.82367701974347,48,0.969618055502712,0.11131984861627979,0.030381944443138742,0.11131984861939408,0.6785774956932511
Andaman And Nicobar Islands,South Andaman,3.1333333333333333,1.881819050241842,60,0.9409848484422937,0.13802599843443664,0.059015151512929874,0.13802599843753735,0.6005805479303565
Andhra Pradesh,Adilabad,10.863013698630137,6.974786074961468,73,0.8121710446441184,0.16123544940692922,0.18782895533927146,0.16123544941007806,0.6420673183701135
Andhra Pradesh,Alluri Sitharama Raju,10.602739726027398,6.369937480129695,73,0.8761547201384869,0.14540331181604654,0.10617335333109784,0.12391037645960121,0.6007822171125091
Andhra Pradesh,Anakapalli,4.857142857142857,3.3461451508564917,70,0.9647684458076164,0.10202440392400397,0.028520408162420616,0.08800062900029874,0.688912236926859
Andhra Pradesh,Anantapur,37.02597402597402,22.169783861666325,77,0.9141640735234127,0.12208024699746331,0.08583592646790478,0.12208024698997369,0.5987630155537343
Andhra Pradesh,Ananthapur,13.573333333333334,7.77934432958191,75,0.9317336355899727,0.090590397304379,0.0682663643954294,0.09059039730612668,0.5731344054168416
Andhra Pradesh,Ananthapuramu,21.60810810810811,10.29671788054039,74,0.9474069658739181,0.05691130730923686,0.0500140359462458,0.05603530004923794,0.47652102761504855
Andhra Pradesh,Annamayya,9.73913043478261,6.293442371214294,69,0.846493813315387,0.1996084199154574,0.05050341530975824,0.1320217422381154,0.6462016720376896
Andhra Pradesh,Bapatla,5.231884057971015,3.7890900954009585,69,0.8442782860969423,0.2328839713779639,0.11045198762253014,0.19151027988327893,0.724230516835648
Andhra Pradesh,Chittoor,92.41558441558442,53.9837574620344,77,0.912729223736044,0.06560156853353384,0.0822199812901145,0.0649309083687124,0.5841412766402685
Andhra Pradesh,Cuddapah,64.53333333333333,37.997984773496164,75,0.9266465388081683,0.05568851706475036,0.0733534611863428,0.055688517069032044,0.5888117475222719
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,7.085714285714285,4.265611929673814,70,0.902077275253645,0.16205071005887337,0.07202999381300856,0.15436140635553733,0.6020016836148245
Andhra Pradesh,East Godavari,85.28571428571429,50.40907842809592,77,0.9320408467601757,0.046417360661345955,0.06675855752465486,0.04648376383811292,0.5910612210992591
Andhra Pradesh,Eluru,6.455882352941177,3.7354047255370504,68,0.8999682098704125,0.17270181710941374,0.08132884272331761,0.16145047825872264,0.5786048321926763
Andhra Pradesh,Guntur,113.36363636363636,71.83239063610237,77,0.8693515909232237,0.1558123412712619,0.11417931331853468,0.11992093669665209,0.6336457874871124
Andhra Pradesh,Hyderabad,31.236842105263158,21.5523353234571,76,0.798885918556471,0.1439750256519105,0.20111408143187814,0.14397502565761447,0.6899652420292738
Andhra Pradesh,K.V. Rangareddy,1.1666666666666667,0.408248290463863,6,0.7499999999291665,0.4183300132222167,0.24999999997916666,0.41833001322819285,0.3499271060818888
Andhra Pradesh,K.V.Rangareddy,1.05,0.22360679774997894,20,0.9999999999025,1.1180331985981722e-11,0.0,0.0,0.21295885497969813
Andhra Pradesh,Kakinada,6.72972972972973,3.604781061492614,74,0.8864687864480176,0.1596671124219645,0.0935549060519197,0.15260917776269853,0.5356501978845173
Andhra Pradesh,Karim Nagar,1.5,0.7223151185146152,24,0.9236111110376157,0.23041218402502134,0.07638888888321758,0.23041218402672484,0.48154341231097386
Andhra Pradesh,Karimnagar,4.942857142857143,2.962987692558406,70,0.8378962307267809,0.1946153508552549,0.16210376924248796,0.1946153508596503,0.5994483770950644
Andhra Pradesh,Khammam,8.901408450704226,5.163484232231081,71,0.7537323934823491,0.23864541305493084,0.24626760649777393,0.23864541304486508,0.5800749691207092
Andhra Pradesh,Krishna,76.11538461538461,45.39551461601407,78,0.9086104831284988,0.0601834340394512,0.08366250554242378,0.05699118390328012,0.5964039312859096
Andhra Pradesh,Kurnool,139.11688311688312,83.3928518371067,77,0.92389886358042,0.07965957298531988,0.0739157145063569,0.07931313340681734,0.5994445100310494
Andhra Pradesh,Mahabub Nagar,8.357142857142858,5.692699912882871,70,0.7407733618352402,0.18166888766109282,0.25922663814202007,0.18166888766975317,0.6811777673453551
Andhra Pradesh,Mahabubnagar,1.0,0.0,3,0.9999999999,0.0,0.0,0.0,0.0
Andhra Pradesh,Mahbubnagar,3.984126984126984,2.744449316006962,63,0.7210254471857378,0.29887667797808903,0.27897455277374,0.2988766779813804,0.6888458442394377
Andhra Pradesh,Medak,9.852941176470589,6.383899304096703,68,0.8399554042983834,0.16006681914398488,0.16004459568341162,0.1600668191403612,0.6479181383196566
Andhra Pradesh,N. T. R,7.267605633802817,4.30268270626884,71,0.8264726933376804,0.19240016967479162,0.12663519249541366,0.17258367038270753,0.5920357987226438
Andhra Pradesh,Nalgonda,8.185714285714285,5.192784450751532,70,0.8258578827628711,0.1803310997074304,0.17414211721665268,0.18033109970951278,0.6343715733824898
